Region,Range,T6.5 Known,Evidence of transformation,Info on vegetation,Info on soil,Info on climate,Other ecosystems known
Maghreb mountains,Western High Atlas,N,Y,Y,N,Y,Y
Maghreb mountains,Central High Atlas,N,Y,Y,N,Y,Y
Maghreb mountains,Middle High Atlas,,Y,Y,,,
Maghreb mountains,Anti-Atlas,,,Y,,Y,
Maghreb mountains,Jebel Siroua,,,Y,,Y,
Maghreb mountains,Jebel Saghro,,,,,,Y
Maghreb mountains,Rif,,Y,Y,Y,Y,Y
Maghreb mountains,Aures Mountains,,,Y,,Y,Y
Maghreb mountains,Djurdjura Range,,Y,Y,Y,,Y
Maghreb mountains,Ksour Range,,Y,,Y,,
Maghreb mountains,Belezma Range,,,Y,Y,Y,Y
Plateau of Mozambique,Mulanje Massif,,Y,Y,Y,Y,Y
Plateau of Mozambique,Namuli Massif,Y,Y,Y,,Y,Y
Plateau of Mozambique,Zomba Plateau,,,Y,,Y,Y
Eastern Arc Mountains,Uluguru Mountains,,Y,Y,Y,Y,Y
Eastern Arc Mountains,Udzungwa,,Y,Y,Y,,Y
Eastern Arc Mountains,South Pare,,Y,Y,,Y,Y
Eastern Arc Mountains,Nguru Mountains,,Y,Y,,Y,Y
Eastern Arc Mountains,Rubeho Mountains,,Y,Y,,,Y
Eastern Arc Mountains,West Usambara,,Y,Y,Y,,Y
Eastern Arc Mountains,Ukaguru,,Y,Y,Y,,Y
Eastern Arc Mountains,Taita Hills,,Y,Y,Y,,Y
Eastern Arc Mountains,North Pare,,Y,Y,Y,Y,Y
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
,,,,,,,
